order_id,order_number,customer_id,store_id,order_date,order_status,payment_status,channel,,,shipping_method,total_item,shipped_date,delivery_date,expected_delivery_date,tracking_number,,,,grand_total,tax_total,shipping_total,shipping_cost,discount_total,,priority_order,is_express_delivery,cancelled_at,refunded_at,updated_at,new_column,created_at,coupon_code
19,ORD00000019,447,13,3/23/2024 0:00,Delivered,Paid,Online,Website,Tablet,Standard,72,3/25/2024 0:00,4/1/2024 0:00,4/1/2024,TRK000000000019,DTDC,,1,159999,118137.26,21264.71,0,139401.97,f,f,f,3/23/2024 0:00,08:13.5,,,,
20,ORD00000020,648,13,11/4/2025 0:00,Delivered,Paid,Online,Website,Tablet,Standard,93,11/5/2025 0:00,11/11/2025 0:00,11/11/2025,TRK000000000020,Delhivery,,1,49999,35604.7,6408.85,0,42013.54,f,f,f,11/4/2025 0:00,08:13.5,,,,
21,ORD00000021,677,13,7/25/2024 0:00,Confirmed,Pending,Online,Website,Tablet,Standard,20,,,,TRK000000000021,Blue Dart,,1,154900,138807.57,24985.36,0,163792.93,f,f,f,7/25/2024 0:00,08:13.5,,,,
22,ORD00000022,198,13,9/10/2025 0:00,Delivered,Paid,Online,Website,Mobile,Standard,22,9/11/2025 0:00,9/19/2025 0:00,9/19/2025,TRK000000000022,DTDC,,1,23999,20204.51,3636.81,0,23841.32,f,f,f,9/10/2025 0:00,08:13.5,,,,
23,ORD00000023,807,13,2/24/2024 0:00,Delivered,Paid,Online,Website,Mobile,Standard,80,2/25/2024 0:00,3/2/2024 0:00,3/2/2024,TRK000000000023,Shadowfax,,1,21999,17507.31,3151.32,0,20658.62,f,f,f,2/24/2024 0:00,08:13.5,,,,
24,ORD00000024,670,13,10/6/2025 0:00,Processing,Pending,Online,Website,Desktop,Standard,70,,,,TRK000000000024,Xpressbees,,1,40999,30142.53,5425.66,0,35568.18,f,f,f,10/6/2025 0:00,08:13.5,,,,
27,ORD00000027,379,13,7/31/2025 0:00,Delivered,Paid,Online,Website,Mobile,Standard,91,8/1/2025 0:00,8/9/2025 0:00,8/9/2025,TRK000000000027,Ecom Express,,1,9499,8834.13,1590.14,0,10424.27,f,f,f,7/31/2025 0:00,08:13.5,,,,
28,ORD00000028,8,13,1/4/2026 0:00,Delivered,Paid,Online,Website,Tablet,Standard,15,1/6/2026 0:00,1/12/2026 0:00,1/12/2026,TRK000000000028,Ecom Express,,1,4598,3172.86,571.12,0,3743.99,f,f,f,1/4/2026 0:00,08:13.5,,,,
29,ORD00000029,961,13,2/19/2024 0:00,Processing,Pending,Online,Website,Desktop,Standard,20,,,,TRK000000000029,Ecom Express,,1,19999,14198.1,2555.66,0,16753.76,f,f,t,2/19/2024 0:00,08:13.5,,,,
30,ORD00000030,242,13,7/26/2024 0:00,Delivered,Paid,Online,Website,Desktop,Standard,55,7/27/2024 0:00,8/4/2024 0:00,8/4/2024,TRK000000000030,Delhivery,,1,154900,127109.44,22879.7,0,149989.14,f,f,f,7/26/2024 0:00,08:13.5,,,,
31,ORD00000031,816,13,5/11/2025 0:00,Delivered,Paid,Online,Website,Desktop,Standard,86,5/13/2025 0:00,5/19/2025 0:00,5/19/2025,TRK000000000031,DTDC,,1,134990,126605.22,22788.94,0,149394.16,f,f,f,5/11/2025 0:00,08:13.5,,,,
32,ORD00000032,912,13,4/20/2025 0:00,Delivered,Paid,Online,Website,Tablet,Standard,8,4/22/2025 0:00,4/28/2025 0:00,4/28/2025,TRK000000000032,Xpressbees,,1,1998,1568.28,282.29,0,1850.58,f,f,f,4/20/2025 0:00,08:13.5,,,,
33,ORD00000033,204,13,9/3/2024 0:00,Delivered,Paid,Online,Website,Desktop,Standard,52,9/4/2024 0:00,9/10/2024 0:00,9/10/2024,TRK000000000033,Xpressbees,,1,1499,1238.51,222.93,0,1461.44,f,f,f,9/3/2024 0:00,08:13.5,,,,
34,ORD00000034,912,13,4/2/2025 0:00,Delivered,Paid,Online,Website,Mobile,Standard,8,4/4/2025 0:00,4/11/2025 0:00,4/11/2025,TRK000000000034,DTDC,,1,30990,26543.17,4777.77,0,31320.94,f,f,f,4/2/2025 0:00,08:13.5,,,,
35,ORD00000035,709,13,8/16/2025 0:00,Delivered,Paid,Online,Website,Tablet,Standard,74,8/17/2025 0:00,8/24/2025 0:00,8/24/2025,TRK000000000035,Xpressbees,,1,20999,19053.14,3429.57,0,22482.71,f,f,f,8/16/2025 0:00,08:13.5,,,,
36,ORD00000036,592,13,4/9/2024 0:00,Delivered,Paid,Online,Website,Mobile,Standard,31,4/11/2024 0:00,4/19/2024 0:00,4/19/2024,TRK000000000036,Shadowfax,,1,37990,30416.71,5475.01,0,35891.71,f,f,f,4/9/2024 0:00,08:13.5,,,,
3,ORD00000003,625,2,4/11/2024 0:00,Delivered,Paid,In-Store,Walk-in,,Store Pickup,8,4/13/2024 0:00,4/13/2024 0:00,4/13/2024,,,,1,26999,19989.53,3598.12,0,23587.64,f,f,f,4/11/2024 0:00,08:13.5,,,,
4,ORD00000004,12,7,5/6/2025 0:00,Delivered,Paid,In-Store,Walk-in,,Store Pickup,95,5/7/2025 0:00,5/7/2025 0:00,5/7/2025,,,,1,16490,12478,2246.04,0,14724.04,f,f,t,5/6/2025 0:00,08:13.5,,,,
6,ORD00000006,79,1,10/22/2024 0:00,Delivered,Paid,In-Store,Walk-in,,Store Pickup,54,10/24/2024 0:00,10/24/2024 0:00,10/24/2024,,,,1,57990,38786.82,6981.63,0,45768.44,f,f,f,10/22/2024 0:00,08:13.5,,,,
7,ORD00000007,180,1,10/5/2024 0:00,Delivered,Paid,In-Store,Walk-in,,Store Pickup,37,10/6/2024 0:00,10/6/2024 0:00,10/6/2024,,,,1,35999,21338.64,3840.95,0,25179.59,f,f,f,10/5/2024 0:00,08:13.5,,,,
8,ORD00000008,771,4,9/11/2024 0:00,Delivered,Paid,In-Store,Walk-in,,Store Pickup,9,9/13/2024 0:00,9/13/2024 0:00,9/13/2024,,,,1,21499,16191.49,2914.47,0,19105.96,f,f,f,9/11/2024 0:00,08:13.5,,,,
13,ORD00000013,35,4,3/10/2024 0:00,Cancelled,Pending,In-Store,Walk-in,,Store Pickup,78,,,,,,,1,2695,2136.27,384.53,0,2520.8,f,f,f,3/10/2024 0:00,08:13.5,3/11/2024 0:00,,,
15,ORD00000015,945,5,12/20/2025 0:00,Delivered,Paid,In-Store,Walk-in,,Store Pickup,36,12/22/2025 0:00,12/22/2025 0:00,12/22/2025,,,,1,16999,11032.43,1985.84,0,13018.27,f,f,f,12/20/2025 0:00,08:13.5,,,,
18,ORD00000018,656,7,11/22/2025 0:00,Confirmed,Pending,In-Store,Walk-in,,Store Pickup,20,,,,,,,1,109990,100815,18146.7,0,118961.7,f,f,f,11/22/2025 0:00,08:13.5,,,,
25,ORD00000025,606,4,4/29/2024 0:00,Delivered,Paid,In-Store,Walk-in,,Store Pickup,68,5/1/2024 0:00,5/1/2024 0:00,5/1/2024,,,,1,8999,7101.19,1278.22,0,8379.41,f,f,f,4/29/2024 0:00,08:13.5,,,,
26,ORD00000026,1000,10,12/12/2025 0:00,Delivered,Paid,In-Store,Walk-in,,Store Pickup,2,12/14/2025 0:00,12/14/2025 0:00,12/14/2025,,,,1,37999,31324.43,5638.4,0,36962.83,f,f,f,12/12/2025 0:00,08:13.5,,,,
37,ORD00000037,894,10,9/20/2024 0:00,Delivered,Paid,In-Store,Walk-in,,Store Pickup,82,9/21/2024 0:00,9/21/2024 0:00,9/21/2024,,,,1,61990,50393.95,9070.91,0,59464.86,f,f,t,9/20/2024 0:00,08:13.5,,,,
39,ORD00000039,417,13,8/22/2024 0:00,Delivered,Paid,Online,Website,Desktop,Standard,38,8/24/2024 0:00,8/29/2024 0:00,8/29/2024,TRK000000000039,Blue Dart,,1,149999,122428.12,22037.06,0,144465.18,f,f,f,8/22/2024 0:00,08:13.5,,,,
42,ORD00000042,932,13,12/2/2025 0:00,Delivered,Paid,Online,Website,Mobile,Standard,13,12/3/2025 0:00,12/8/2025 0:00,12/8/2025,TRK000000000042,DTDC,,1,23999,17741.5,3193.47,0,20934.97,f,f,f,12/2/2025 0:00,08:13.5,,,,
44,ORD00000044,516,13,12/8/2025 0:00,Processing,Pending,Online,Website,Tablet,Standard,66,,,,TRK000000000044,Xpressbees,,1,33999,26489.71,4768.15,0,31257.85,f,f,f,12/8/2025 0:00,08:13.5,,,,
46,ORD00000046,296,13,3/30/2024 0:00,Cancelled,Pending,Online,Website,Desktop,Standard,20,,,,TRK000000000046,Ecom Express,,1,45999,34614.32,6230.58,0,40844.89,f,f,f,3/30/2024 0:00,08:13.5,3/31/2024 0:00,,,
47,ORD00000047,555,13,5/26/2024 0:00,Delivered,Paid,Online,Website,Desktop,Standard,45,5/28/2024 0:00,6/3/2024 0:00,6/3/2024,TRK000000000047,Xpressbees,,1,74990,67258.51,12106.53,0,79365.04,f,f,f,5/26/2024 0:00,08:13.5,,,,
49,ORD00000049,381,13,11/2/2024 0:00,Confirmed,Pending,Online,Website,Mobile,Standard,85,,,,TRK000000000049,Blue Dart,,1,29999,18057.88,3250.42,0,21308.3,f,f,f,11/2/2024 0:00,08:13.5,,,,
